Elsődleges forrás;Terület;Megye;Járás;rekodszám;gimmisn;govcenter_id;komdat_id;last_update;check_date;url
asp;Aba;Fejér;Székesfehérvári;;;;;;;https://aba.asp.lgov.hu/nyilvantartasok
govcenter;Acsa;Pest;Váci;;;502;;2017.01.15;2020.08.01;https://www.govcenter.hu/uzlet/Public/Uzleteklista.aspx?onk_id=502
asp;Aggtelek;Borsod-Abaúj-Zemplén;Putnoki;;;;;;;https://aggtelek.asp.lgov.hu/nyilvantartasok
govcenter;Ajka;Veszprém;Ajkai;;;414;;2018.12.18;2020.08.01;https://www.govcenter.hu/uzlet/Public/Uzleteklista.aspx?onk_id=414
oknyir;Alsóörs;Veszprém;Balatonfüredi;67;I;;;2022.10.13;2022.11.30;
asp;Alsószuha;Borsod-Abaúj-Zemplén;Putnoki;;;;;;;https://alsoszuha.asp.lgov.hu/nyilvantartasok
asp;Áporka;Borsod-Abaúj-Zemplén;Putnoki;;;;;;;https://aporka.asp.lgov.hu/nyilvantartasok
asp;Ártánd;Hajdú-Bihar;"	Berettyóújfalui";;;;;;;https://artand.asp.lgov.hu/nyilvantartasok
oknyir;Aszófő;Veszprém;Balatonfüredi;;;;;2022.09.01;2022.11.30;
asp;Bácsborsód;Bács-Kiskun;"	Bácsalmási";;;;;;;https://bacsborsod.asp.lgov.hu/nyilvantartasok
asp;Baja;Bács-Kiskun;Bajai;1662;I;;;2025.04.23;2025.04.23;https://baja.asp.lgov.hu/nyilvantartasok
asp;Bajna;Komárom-Esztergom;Esztergomi;34;I;;;2024.03.04;2025.04.23;https://bajna.asp.lgov.hu/nyilvantartasok
oknyir;Bajót;Komárom-Esztergom;Esztergomi;13;I;;;2022.07.25;2022.11.30;
asp;Bakóca;Baranya;Hegyháti;;;;;;;https://bakoca.asp.lgov.hu/nyilvantartasok
asp;Bakonszeg;Hajdú-Bihar;"	Berettyóújfalui";;;;;;;https://bakonszeg.asp.lgov.hu/nyilvantartasok
oknyir;Balassagyarmat;Nógrád;Balassagyarmati;122;I;;;2022.11.29;2022.11.30;
oknyir;Balatonakali;Veszprém;Balatonfüredi;;;;;2022.11.30;2022.11.30;
asp;Balatonakarattya;Veszprém;Balatonalmádi;79;I;;;2025.04.16;2025.04.23;https://balatonakarattya.asp.lgov.hu/nyilvantartasok
asp;Balatonalmádi;Veszprém;Balatonalmádi;340;I;38;;2025.04.09;2025.04.23;https://balatonalmadi.asp.lgov.hu/nyilvantartasok
komdat;Balatonboglár;Somogy;Fonyódi;563;I;;7AEA9F64-428D-4BCD-A3E8-45673C71F7C5;2025.04.04;2025.04.23;https://iparkerpublikalas.komdat.hu/?onkid=7AEA9F64-428D-4BCD-A3E8-45673C71F7C5
oknyir;Balatoncsicsó;Veszprém;Balatonfüredi;7;I;;;2022.06.01;2022.11.30;
önkormányzat;Balatonfőkajár;Veszprém;Balatonalmádi;;I;451;;2022.05.06;2022.11.25;https://balatonfokajar.hu/wp-content/uploads/2022/05/Nyilva%CC%81ntarta%CC%81s-a-bejelente%CC%81shez-ko%CC%88to%CC%88tt-kereskedelmi-teve%CC%81kenyse%CC%81gro%CC%8Bl-2022.05.06....-1.xls
oknyir;Balatonföldvár;Somogy;Siófoki;134;I;525;;2022.10.25;2022.11.30;
asp;Balatonfüred;Veszprém;Balatonfüredi;1737;I;27;;2025.04.15;2025.04.23;https://balatonfured.asp.lgov.hu/nyilvantartasok
oknyir;Balatonfűzfő;Veszprém;Balatonalmádi;41;I;;;2022.11.07;2022.11.30;
asp inaktív;Balatongyörök;Zala;Keszthelyi;198;I;;;2023.10.20;2025.04.23;https://balatongyorok.asp.lgov.hu/nyilvantartasok
oknyir;Balatonkenese;Veszprém;Balatonalmádi;75;I;;;2022.09.13;2022.11.30;
oknyir;Balatonlelle;Somogy;Fonyódi;334;I;510;;2022.11.21;2022.11.30;
asp;Balatonőszöd;Somogy;Siófoki;13;I;;;2024.04.05;2025.04.23;https://balatonoszod.asp.lgov.hu/nyilvantartasok
govcenter;Balatonszárszó;Somogy;Siófoki;297;I;8;;2021.06.07;2025.04.23;https://www.govcenter.hu/uzlet/Public/Uzleteklista.aspx?onk_id=8
asp;Balatonszemes;Somogy;Siófoki;213;I;;;2025.04.16;2025.04.23;https://balatonszemes.asp.lgov.hu/nyilvantartasok
oknyir;Balatonszepezd;Veszprém;Balatonfüredi;;;;;2022.07.21;2022.11.30;
oknyir;Balatonszőlős;Veszprém;Balatonfüredi;;;;;2022.11.30;2022.11.30;
oknyir;Balatonudvari;Veszprém;Balatonfüredi;;;;;2022.06.14;2022.11.30;
asp;Balatonvilágos;Somogy;Siófoki;80;I;;;2025.04.04;2025.04.23;https://balatonvilagos.asp.lgov.hu/nyilvantartasok
govcenter;Balmazújváros;Hajdú-Bihar;Balmazújvárosi;;;552;;2018.11.27;2020.08.01;https://www.govcenter.hu/uzlet/Public/Uzleteklista.aspx?onk_id=552
govcenter;Bálványos;Somogy;Siófoki;;;526;;2013.10.24;2020.08.01;https://www.govcenter.hu/uzlet/Public/Uzleteklista.aspx?onk_id=526
asp;Bana;Komárom-Esztergom;Komáromi;;;;;;;https://bana.asp.lgov.hu/nyilvantartasok
asp inaktív;Baracska;Fejér;Martonvásári;59;I;;;2023.12.04;2025.04.23;https://baracska.asp.lgov.hu/nyilvantartasok
asp;Baranyajenő;Baranya;Hegyháti;;;;;;;https://baranyajeno.asp.lgov.hu/nyilvantartasok
govcenter;Barcs;Somogy;Barcsi;;;42;;2018.01.24;2020.08.01;https://www.govcenter.hu/uzlet/Public/Uzleteklista.aspx?onk_id=42
asp;Bárna;Nógrád;Salgótarjáni;;;;;;;https://barna.asp.lgov.hu/nyilvantartasok
asp;Bátonyterenye;Nógrád;Bátonyterenyei;215;I;;;2025.04.08;2025.04.23;https://batonyterenye.asp.lgov.hu/nyilvantartasok
oknyir;Békés;Békés;Békési;132;I;;;2022.11.22;2022.11.30;
oknyir;Békéscsaba;Békés;Békéscsabai;258;I;;;2022.11.25;2022.11.30;
asp;Belecska;Tolna;Tamási;;;;;;;https://belecska.asp.lgov.hu/nyilvantartasok
oknyir;Berekfürdő;Jász-Nagykun-Szolnok;Sárvári;7;I;;;2022.09.15;2022.11.30;
asp;Berhida;Veszprém;Várpalotai;;;;7a91b926-fce3-4769-adc5-c40957654f19;;;https://berhida.asp.lgov.hu/nyilvantartasok
asp;Bernecebaráti;Pest;Szobi;;;;;;;https://bernecebarati.asp.lgov.hu/nyilvantartasok
asp;Berzék;Borsod-Abaúj-Zemplén;Miskolci;;;;;;;https://berzek.asp.lgov.hu/nyilvantartasok
asp;Berzence;Győr-Moson-Sopron;Mosonmagyaróvári;;;;;;;https://berzence.asp.lgov.hu/nyilvantartasok
asp;Besenyszög;Jász-Nagykun-Szolnok;Szolnoki;;;;;;;https://besenyszog.asp.lgov.hu/nyilvantartasok
